questions,answers,questions_with_answers,entity,image_ids
"Ryan Seacrest , Alec Baldwin among the next ' Live With Kelly ' guest co - hosts Which word(s) correspond to the person in the sentence? ",Ryan Seacrest,"Ryan Seacrest , Alec Baldwin among the next ' Live With Kelly ' guest co - hosts Which word(s) correspond to the person in the sentence? Answer: Ryan Seacrest",person,O_3572.jpg
"( 9 ) More photos of Justin Bieber performing on the # PurposeTour tonight in Boston , Massachusetts . ( May 11 ) Which word(s) correspond to the person in the sentence? ",Justin Bieber,"( 9 ) More photos of Justin Bieber performing on the # PurposeTour tonight in Boston , Massachusetts . ( May 11 ) Which word(s) correspond to the person in the sentence? Answer: Justin Bieber",person,O_2430.jpg
Donald Trump Thinks Wind Energy Kills Too Many Eagles . He ' s Right ! Which word(s) correspond to the person in the sentence? ,Donald Trump,Donald Trump Thinks Wind Energy Kills Too Many Eagles . He ' s Right ! Which word(s) correspond to the person in the sentence? Answer: Donald Trump,person,O_2590.jpg
Seth Meyers tears apart Donald Trump over ' terrible Tinder date ' with James Comey Which word(s) correspond to the person in the sentence? ,Seth Meyers,Seth Meyers tears apart Donald Trump over ' terrible Tinder date ' with James Comey Which word(s) correspond to the person in the sentence? Answer: Seth Meyers,person,O_3845.jpg
Donald Trump must faint when he sees two walls this good . Which word(s) correspond to the person in the sentence? ,Donald Trump,Donald Trump must faint when he sees two walls this good . Which word(s) correspond to the person in the sentence? Answer: Donald Trump,person,O_1099.jpg
Giants_101 : Giants Vs . Packers : 4 Players to Watch # giants # nyg # nfl Which word(s) correspond to the organization in the sentence? ,Giants_101,Giants_101 : Giants Vs . Packers : 4 Players to Watch # giants # nyg # nfl Which word(s) correspond to the organization in the sentence? Answer: Giants_101,organization,17_01_16463.jpg
Wayne Rooney na the Face of Manchester United # MUIP Which word(s) correspond to the person in the sentence? ,Wayne Rooney,Wayne Rooney na the Face of Manchester United # MUIP Which word(s) correspond to the person in the sentence? Answer: Wayne Rooney,person,O_1852.jpg
❤ ❤ 💙 # Bieber # BestSeller JUSTIN BIEBER SHIRT JUSTIN BIEBER IS MY BOYFRIEND # JustinBieber … Which word(s) correspond to the person in the sentence? ,Bieber,❤ ❤ 💙 # Bieber # BestSeller JUSTIN BIEBER SHIRT JUSTIN BIEBER IS MY BOYFRIEND # JustinBieber … Which word(s) correspond to the person in the sentence? Answer: Bieber,person,O_3825.jpg
We took in an incredible soccer game at famous Maracana Stadium ! Which word(s) correspond to the location in the sentence? ,Maracana Stadium,We took in an incredible soccer game at famous Maracana Stadium ! Which word(s) correspond to the location in the sentence? Answer: Maracana Stadium,location,16_05_08_609.jpg
Tonight was incredible ! # LCFCParade # havingaparty # LCFCChampions # WeAreLeicester Which word(s) correspond to the misceallonous entity in the sentence? ,LCFCParade,Tonight was incredible ! # LCFCParade # havingaparty # LCFCChampions # WeAreLeicester Which word(s) correspond to the misceallonous entity in the sentence? Answer: LCFCParade,misceallonous entity,16_05_16_323.jpg
"MT @ SheilaS : Finally made it to a special concert , the Symphony in the Flint Hills @ SITFHs Which word(s) correspond to the person in the sentence? ",SheilaS,"MT @ SheilaS : Finally made it to a special concert , the Symphony in the Flint Hills @ SITFHs Which word(s) correspond to the person in the sentence? Answer: SheilaS",person,17_06_12743.jpg
add me on sc to see my b . a . p concert last night 😊 😊 😊 😊 😊 - marycherryk Which word(s) correspond to the person in the sentence? ,b p . a .,add me on sc to see my b . a . p concert last night 😊 😊 😊 😊 😊 - marycherryk Which word(s) correspond to the person in the sentence? Answer: b p . a .,person,16_05_27_128.jpg
". @ ericbolling : "" Most of the country believes in Donald Trump . "" Which word(s) correspond to the person in the sentence? ",ericbolling,". @ ericbolling : "" Most of the country believes in Donald Trump . "" Which word(s) correspond to the person in the sentence? Answer: ericbolling",person,O_4486.jpg
Trump ' s Conflicts of Interest in Russia Which word(s) correspond to the person in the sentence? ,Trump,Trump ' s Conflicts of Interest in Russia Which word(s) correspond to the person in the sentence? Answer: Trump,person,17_06_13233.jpg
[ NEWSFEED ] Prenjak warnai Festival Film Cannes Which word(s) correspond to the misceallonous entity in the sentence? ,Prenjak,[ NEWSFEED ] Prenjak warnai Festival Film Cannes Which word(s) correspond to the misceallonous entity in the sentence? Answer: Prenjak,misceallonous entity,16_05_12_259.jpg
GIRLS BASKETBALL : Cheshire soldiers on without standout point guard Which word(s) correspond to the organization in the sentence? ,Cheshire,GIRLS BASKETBALL : Cheshire soldiers on without standout point guard Which word(s) correspond to the organization in the sentence? Answer: Cheshire,organization,17_01_5292.jpg
"Baseball Game - After a long time ( app 2 hours ) in the Smith ' s Ballpark Salt Lake City I got absolutely no idea , ho … Which word(s) correspond to the location in the sentence? ",Smith Ballpark s ',"Baseball Game - After a long time ( app 2 hours ) in the Smith ' s Ballpark Salt Lake City I got absolutely no idea , ho … Which word(s) correspond to the location in the sentence? Answer: Smith Ballpark s '",location,16_05_23_1024.jpg
NSAA - New Article - Baseball : Vikings advance with 8 - 5 win over Dickinson - Which word(s) correspond to the organization in the sentence? ,NSAA,NSAA - New Article - Baseball : Vikings advance with 8 - 5 win over Dickinson - Which word(s) correspond to the organization in the sentence? Answer: NSAA,organization,16_05_07_736.jpg
"Didn ' t know what to do today , found a baseball game @ FSUBaseball # GoNoles ! Which word(s) correspond to the organization in the sentence? ",FSUBaseball,"Didn ' t know what to do today , found a baseball game @ FSUBaseball # GoNoles ! Which word(s) correspond to the organization in the sentence? Answer: FSUBaseball",organization,16_05_21_787.jpg
Wise words from # NCAAs leader in most all - time wins for a coach in # basketball history ! # Monday # MondayMotivation Which word(s) correspond to the organization in the sentence? ,NCAAs,Wise words from # NCAAs leader in most all - time wins for a coach in # basketball history ! # Monday # MondayMotivation Which word(s) correspond to the organization in the sentence? Answer: NCAAs,organization,16_05_23_197.jpg
"Donald Trump is eating a taco salad on top of a bikini - clad photo of his ex - wife , Marla Maples . Which word(s) correspond to the person in the sentence? ",Donald Trump,"Donald Trump is eating a taco salad on top of a bikini - clad photo of his ex - wife , Marla Maples . Which word(s) correspond to the person in the sentence? Answer: Donald Trump",person,O_320.jpg
What a BE - U - T - FULL day on the River Walk . Perfect weather for the Armed Forces River Parade Which word(s) correspond to the location in the sentence? ,River Walk,What a BE - U - T - FULL day on the River Walk . Perfect weather for the Armed Forces River Parade Which word(s) correspond to the location in the sentence? Answer: River Walk,location,16_05_20_1040.jpg
LeBron James Comments on Reaching 6 th Straight NBA Finals Which word(s) correspond to the person in the sentence? ,LeBron James,LeBron James Comments on Reaching 6 th Straight NBA Finals Which word(s) correspond to the person in the sentence? Answer: LeBron James,person,16_05_28_482.jpg
And I love this ! ! Our suite was bumpin ' in game 7 ! ! @ StLouisBlues # NHL17Tarasenko Which word(s) correspond to the organization in the sentence? ,StLouisBlues,And I love this ! ! Our suite was bumpin ' in game 7 ! ! @ StLouisBlues # NHL17Tarasenko Which word(s) correspond to the organization in the sentence? Answer: StLouisBlues,organization,16_05_14_1061.jpg
When you ' re raiding for hours with a friend then one piece of your loot drops and you both hit need . # warcraft Which word(s) correspond to the misceallonous entity in the sentence? ,warcraft,When you ' re raiding for hours with a friend then one piece of your loot drops and you both hit need . # warcraft Which word(s) correspond to the misceallonous entity in the sentence? Answer: warcraft,misceallonous entity,O_4757.jpg
I ' m tired and hungry and smell like seaweed but the Savannah sand festival was a - ok Which word(s) correspond to the location in the sentence? ,Savannah,I ' m tired and hungry and smell like seaweed but the Savannah sand festival was a - ok Which word(s) correspond to the location in the sentence? Answer: Savannah,location,16_05_06_236.jpg
Mark Schwarzer is the first player ever to win 2 Premier League titles in a row without having played a single game . Which word(s) correspond to the person in the sentence? ,Mark Schwarzer,Mark Schwarzer is the first player ever to win 2 Premier League titles in a row without having played a single game . Which word(s) correspond to the person in the sentence? Answer: Mark Schwarzer,person,16_05_04_644.jpg
What would the Founding Fathers think of Donald Trump ? Which word(s) correspond to the person in the sentence? ,Donald Trump,What would the Founding Fathers think of Donald Trump ? Which word(s) correspond to the person in the sentence? Answer: Donald Trump,person,O_2619.jpg
we good listening to lil boat and shit talking bout life byeeeeee h8rz Which word(s) correspond to the misceallonous entity in the sentence? ,lil boat,we good listening to lil boat and shit talking bout life byeeeeee h8rz Which word(s) correspond to the misceallonous entity in the sentence? Answer: lil boat,misceallonous entity,O_626.jpg
Got some great work in wit the future of Collins Tiger football . . . All these kids need is someone to care Which word(s) correspond to the organization in the sentence? ,Collins Tiger,Got some great work in wit the future of Collins Tiger football . . . All these kids need is someone to care Which word(s) correspond to the organization in the sentence? Answer: Collins Tiger,organization,16_05_15_601.jpg
Sergio Ramos becomes first defender to score in two Champions League finals Which word(s) correspond to the person in the sentence? ,Sergio Ramos,Sergio Ramos becomes first defender to score in two Champions League finals Which word(s) correspond to the person in the sentence? Answer: Sergio Ramos,person,O_244.jpg
Kevin Durant putting up more bricks than Super Mario Bros Which word(s) correspond to the person in the sentence? ,Kevin Durant,Kevin Durant putting up more bricks than Super Mario Bros Which word(s) correspond to the person in the sentence? Answer: Kevin Durant,person,O_3969.jpg
Add your name to stand with the Vice President against Donald Trump : Which word(s) correspond to the person in the sentence? ,Donald Trump,Add your name to stand with the Vice President against Donald Trump : Which word(s) correspond to the person in the sentence? Answer: Donald Trump,person,O_556.jpg
WHAT IF LeBron chose to sign with the Chicago Bulls back in 2010 ? @ the . nba . way 🎨 @ swapgods Which word(s) correspond to the person in the sentence? ,LeBron,WHAT IF LeBron chose to sign with the Chicago Bulls back in 2010 ? @ the . nba . way 🎨 @ swapgods Which word(s) correspond to the person in the sentence? Answer: LeBron,person,17_06_12132.jpg
Who is the better player ? # Retweet for LeBron James # Favorite for Kevin Durant Which word(s) correspond to the person in the sentence? ,LeBron James,Who is the better player ? # Retweet for LeBron James # Favorite for Kevin Durant Which word(s) correspond to the person in the sentence? Answer: LeBron James,person,O_2820.jpg
Harry Styles new looks ! What do u think ? Which word(s) correspond to the person in the sentence? ,Harry Styles,Harry Styles new looks ! What do u think ? Which word(s) correspond to the person in the sentence? Answer: Harry Styles,person,O_4783.jpg
LeBron - fan Rihanna stares at Kevin Durant during Game 1 of the 2017 NBA Finals . Which word(s) correspond to the person in the sentence? ,LeBron,LeBron - fan Rihanna stares at Kevin Durant during Game 1 of the 2017 NBA Finals . Which word(s) correspond to the person in the sentence? Answer: LeBron,person,O_1116.jpg
@ adidasfootball A picture from Besiktas JK . Which word(s) correspond to the organization in the sentence? ,Besiktas JK,@ adidasfootball A picture from Besiktas JK . Which word(s) correspond to the organization in the sentence? Answer: Besiktas JK,organization,17_06_6689.jpg
"AVENGED SEVENFOLD , DEFTONES , CHEVELLE Set For First Annual TEXAS MUTINY Festival Which word(s) correspond to the person in the sentence? ",AVENGED SEVENFOLD,"AVENGED SEVENFOLD , DEFTONES , CHEVELLE Set For First Annual TEXAS MUTINY Festival Which word(s) correspond to the person in the sentence? Answer: AVENGED SEVENFOLD",person,16_05_02_310.jpg
"Calm down Gregg , it ' s soccer @ bellathorne Which word(s) correspond to the person in the sentence? ",Gregg,"Calm down Gregg , it ' s soccer @ bellathorne Which word(s) correspond to the person in the sentence? Answer: Gregg",person,17_06_14861.jpg
Blake Lively is pregnant with a stomach looking like mine after I smell food Which word(s) correspond to the person in the sentence? ,Blake Lively,Blake Lively is pregnant with a stomach looking like mine after I smell food Which word(s) correspond to the person in the sentence? Answer: Blake Lively,person,O_2250.jpg
MLB Draft 2017 : Breaking down the Orioles picks in rounds 1 - 10 # orioles # MLB Which word(s) correspond to the organization in the sentence? ,MLB,MLB Draft 2017 : Breaking down the Orioles picks in rounds 1 - 10 # orioles # MLB Which word(s) correspond to the organization in the sentence? Answer: MLB,organization,17_06_11652.jpg
Good luck tomorrow to my Bhoy and his teammates . . . . don ' t you just love being a football mum ⚽ ️ ☔ ️ ⚽ ️ ☔ ️ Which word(s) correspond to the person in the sentence? ,Bhoy,Good luck tomorrow to my Bhoy and his teammates . . . . don ' t you just love being a football mum ⚽ ️ ☔ ️ ⚽ ️ ☔ ️ Which word(s) correspond to the person in the sentence? Answer: Bhoy,person,16_05_20_599.jpg
Beautiful day for some football ! @ HenkeKohl Which word(s) correspond to the person in the sentence? ,HenkeKohl,Beautiful day for some football ! @ HenkeKohl Which word(s) correspond to the person in the sentence? Answer: HenkeKohl,person,17_06_14665.jpg
Nicky Rockets Catwalk show at the Alternative Fashion Festival in Manche . . . Which word(s) correspond to the organization in the sentence? ,Nicky Rockets,Nicky Rockets Catwalk show at the Alternative Fashion Festival in Manche . . . Which word(s) correspond to the organization in the sentence? Answer: Nicky Rockets,organization,17_06_8458.jpg
NFL star Patrick Willis is thriving in retirement as a Silicon Valley tech worker Which word(s) correspond to the organization in the sentence? ,NFL,NFL star Patrick Willis is thriving in retirement as a Silicon Valley tech worker Which word(s) correspond to the organization in the sentence? Answer: NFL,organization,16_05_18_635.jpg
BTS Has Dethroned Justin Bieber As The Top Social Artist : Which word(s) correspond to the person in the sentence? ,BTS,BTS Has Dethroned Justin Bieber As The Top Social Artist : Which word(s) correspond to the person in the sentence? Answer: BTS,person,O_892.jpg
"TheEconomist : Donald Trump calls it "" rape "" . China calls it a commitment . A looming trade row … Which word(s) correspond to the organization in the sentence? ",TheEconomist,"TheEconomist : Donald Trump calls it "" rape "" . China calls it a commitment . A looming trade row … Which word(s) correspond to the organization in the sentence? Answer: TheEconomist",organization,O_1862.jpg
Klay Thompson looking like he already planning what he gonna do after they get eliminated . . . # NBAPlayoffs Which word(s) correspond to the person in the sentence? ,Klay Thompson,Klay Thompson looking like he already planning what he gonna do after they get eliminated . . . # NBAPlayoffs Which word(s) correspond to the person in the sentence? Answer: Klay Thompson,person,16_05_22_529.jpg
J . Cole ' s the highest paid rapper of 2015 Which word(s) correspond to the person in the sentence? ,J Cole .,J . Cole ' s the highest paid rapper of 2015 Which word(s) correspond to the person in the sentence? Answer: J Cole .,person,O_1587.jpg
New polls show Hillary Clinton and Donald Trump neck - and - neck Which word(s) correspond to the person in the sentence? ,Hillary Clinton,New polls show Hillary Clinton and Donald Trump neck - and - neck Which word(s) correspond to the person in the sentence? Answer: Hillary Clinton,person,O_4793.jpg
Newly released old photo of Justin Bieber spotted with Josh Gudwin . Which word(s) correspond to the person in the sentence? ,Justin Bieber,Newly released old photo of Justin Bieber spotted with Josh Gudwin . Which word(s) correspond to the person in the sentence? Answer: Justin Bieber,person,O_3353.jpg
RT ARapperSaid_ : Michael Jordan congratulates Russell Westbrook on winning MVP 🙏 👏 Which word(s) correspond to the person in the sentence? ,Michael Jordan,RT ARapperSaid_ : Michael Jordan congratulates Russell Westbrook on winning MVP 🙏 👏 Which word(s) correspond to the person in the sentence? Answer: Michael Jordan,person,O_3689.jpg
"Julius Erving , Allen Iverson react to 76 ers winning NBA draft lottery # 76 ers Which word(s) correspond to the person in the sentence? ",Julius Erving,"Julius Erving , Allen Iverson react to 76 ers winning NBA draft lottery # 76 ers Which word(s) correspond to the person in the sentence? Answer: Julius Erving",person,16_05_17_532.jpg
Lewis Hamilton celebrates with Justin Bieber after winning thrilling Monaco Grand Prix race Which word(s) correspond to the person in the sentence? ,Lewis Hamilton,Lewis Hamilton celebrates with Justin Bieber after winning thrilling Monaco Grand Prix race Which word(s) correspond to the person in the sentence? Answer: Lewis Hamilton,person,O_3917.jpg
Have you seen these pianos in # Minneapolis ? They ' re part of @ MplsDowntown ' s # PianosOnParade ! Which word(s) correspond to the location in the sentence? ,Minneapolis,Have you seen these pianos in # Minneapolis ? They ' re part of @ MplsDowntown ' s # PianosOnParade ! Which word(s) correspond to the location in the sentence? Answer: Minneapolis,location,17_06_11926.jpg
Kim Kardashian Vs . Khloe Kardashian : Who Wins Battle Of The Boo Which word(s) correspond to the person in the sentence? ,Kim Kardashian,Kim Kardashian Vs . Khloe Kardashian : Who Wins Battle Of The Boo Which word(s) correspond to the person in the sentence? Answer: Kim Kardashian,person,O_133.jpg
Kentucky takes care of Ohio in 1 st game of Lexington Regional 6 - 4 . # NCAABaseball Which word(s) correspond to the organization in the sentence? ,Kentucky,Kentucky takes care of Ohio in 1 st game of Lexington Regional 6 - 4 . # NCAABaseball Which word(s) correspond to the organization in the sentence? Answer: Kentucky,organization,17_06_14722.jpg
Great day for some Ranger baseball ! Let ' s go boys ! ! ! Which word(s) correspond to the organization in the sentence? ,Ranger,Great day for some Ranger baseball ! Let ' s go boys ! ! ! Which word(s) correspond to the organization in the sentence? Answer: Ranger,organization,16_05_07_737.jpg
# GrammyWorthyMixtapes pt . 8 J . Cole dropped a classic . Still can play this mixtape beginning to end no skips . Which word(s) correspond to the person in the sentence? ,J Cole .,# GrammyWorthyMixtapes pt . 8 J . Cole dropped a classic . Still can play this mixtape beginning to end no skips . Which word(s) correspond to the person in the sentence? Answer: J Cole .,person,O_331.jpg
Owen ' s birthday basketball game on his sixth birthday . Go Cats ! # B1GCats Which word(s) correspond to the person in the sentence? ,Owen,Owen ' s birthday basketball game on his sixth birthday . Go Cats ! # B1GCats Which word(s) correspond to the person in the sentence? Answer: Owen,person,17_01_20057.jpg
Harry Potter and the Sorcerer ' s Stone ( Book 1 ) by J . K . Rowling Which word(s) correspond to the misceallonous entity in the sentence? ,Harry Stone s ' Sorcerer the and Potter,Harry Potter and the Sorcerer ' s Stone ( Book 1 ) by J . K . Rowling Which word(s) correspond to the misceallonous entity in the sentence? Answer: Harry Stone s ' Sorcerer the and Potter,misceallonous entity,O_3793.jpg
Michigan State baseball bounced from Big Ten Tournament by Ohio State Which word(s) correspond to the organization in the sentence? ,Michigan State,Michigan State baseball bounced from Big Ten Tournament by Ohio State Which word(s) correspond to the organization in the sentence? Answer: Michigan State,organization,16_05_29_638.jpg
Thunder Road : How long before Kevin Durant and Oklahoma City reign ? Which word(s) correspond to the person in the sentence? ,Kevin Durant,Thunder Road : How long before Kevin Durant and Oklahoma City reign ? Which word(s) correspond to the person in the sentence? Answer: Kevin Durant,person,O_2573.jpg
NHL Draft 2017 : New York Rangers Select Dominik Lakatos With 157 th Overall Pick Which word(s) correspond to the organization in the sentence? ,NHL,NHL Draft 2017 : New York Rangers Select Dominik Lakatos With 157 th Overall Pick Which word(s) correspond to the organization in the sentence? Answer: NHL,organization,17_06_9615.jpg
